id,P1,P2,P3,P4,D1,D2,D3,D5,D7,D9,D10,D11,R1[SQ001],R1[SQ002],R1[SQ003],R1[SQ004],R1[SQ005],R1[SQ006],R2[SQ001],R2[SQ002],R2[SQ003],R2[SQ004],R2[SQ005],R3[SQ001],R3[SQ002],R3[SQ003],R3[SQ004],R3[SQ005],R4[SQ001],R4[SQ002],R4[SQ003],R4[SQ004],R4[SQ005],R5[SQ001],R5[SQ002],R5[SQ003],R5[SQ004],R6[SQ001],R6[SQ002],R6[SQ003],R6[SQ004],I1,I2,I3,I4[SQ001][1],I4[SQ001][2],I4[SQ002][1],I4[SQ002][2],I4[SQ003][1],I4[SQ003][2],I4[SQ004][1],I4[SQ004][2],I4[SQ005][1],I4[SQ005][2],I4[SQ006][1],I4[SQ006][2],I4[SQ007][1],I4[SQ007][2],I5[SQ001],I5[SQ002],I5[SQ003],I5[SQ004],I5[SQ005],I5[SQ006],I5[SQ007],I5[SQ008],S1[SQ001],S1[SQ002],S1[SQ003],S1[SQ004],S1[SQ005],S2[SQ001],S2[SQ002],S2[SQ003],S2[SQ004],S2[SQ005],S2[SQ006],S3[SQ001],S3[SQ002],S3[SQ003],S3[SQ004],S3[SQ005],S3[SQ006],S4[SQ001][1],S4[SQ001][2],S4[SQ002][1],S4[SQ002][2],S4[SQ003][1],S4[SQ003][2],S4[SQ004][1],S4[SQ004][2],S4[SQ005][1],S4[SQ005][2],S4[SQ006][1],S4[SQ006][2],S4[SQ007][1],S4[SQ007][2],S4[SQ008][1],S4[SQ008][2],S4[SQ009][1],S4[SQ009][2],S4[SQ010][1],S4[SQ010][2],S4[SQ011][1],S4[SQ011][2],S4[SQ012][1],S4[SQ012][2],S4[SQ013][1],S4[SQ013][2],S4[SQ015][1],S4[SQ015][2],S5[SQ001],S5[SQ002],S5[SQ003],S5[SQ004],S5[SQ005],S5[SQ006],S5[SQ007],S5[SQ008],S5[SQ009],S5[SQ010],S5[SQ011],S5part2[SQ012],S6[SQ001],S6[SQ002],S6[SQ003],S6[SQ004],S6[SQ005],M1,M2[SQ001],M2[SQ002],M2[SQ003],M2[SQ004],H1[SQ001],H1[SQ002],H1[SQ003],H1[SQ004],H1[SQ005],H1[SQ006],H1[SQ007],H2[SQ001],H2[SQ002],H2[SQ003],H2[SQ004],H2[SQ005],H2[SQ006],H2[SQ007],H4[SQ001],H4[SQ002],H4[SQ003],H4[SQ004],H4[SQ005],H3,data_shared_ever
31,Yes,,Yes,Yes,2017,2012,8,2,Assistant Professor (or equivalent),2,2,2,0,1,1,0,2,4,N/A,N/A,N/A,N/A,N/A,No,Yes,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,N/A,Yes,No,No,No,No,,4,2,4,1,3,2,3,1,4,1,4,2,4,1,3,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,No,Yes,No,I don't know,No,I don't know,No,I don't know,No,No,No,I don't know,No,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Slightly a reason,Moderately a reason,Slightly a reason,Slightly a reason,Strongly a reason,Slightly a reason,Slightly a reason,Strongly a reason,Slightly a reason,Strongly a reason,Strongly a reason,,3,4,4,2,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,4,4,3,4,3,4,Yes
32,Yes,,Yes,Yes,2019,2011,5,3,Assistant Professor (or equivalent),3,3,2,4,4,4,0,0,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,5 - Definitely yes,5,3,5,2,5,2,5,3,4,2,4,4,4,5,Mostly acceptable,Neither acceptable nor unacceptable,Mostly unacceptable,Neither acceptable nor unacceptable,Mostly acceptable,Mostly unacceptable,Mostly acceptable,Mostly acceptable,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,Yes,I don't know,Yes,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Slightly a reason,Slightly a reason,Slightly a reason,Slightly a reason,Slightly a reason,Slightly a reason,,4,5 - Highly motivating,3,3,3,Rarely,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,4,3,4,4,3,5 - Willing,Yes
33,No,Yes,Yes,Yes,,2022,6,3,Graduate Student,0.8,4,4,0,0,0,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,4,5,4,5,4,2,4,5,4,3,2,4,3,5,3,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,I don't know,No,Yes,No,I don't know,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,Yes,I don't know,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,3,2,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,3,3,3,3,4,5 - Willing,Yes
34,Yes,,Yes,Yes,2024,2017,8,0,Post-Doctoral Fellow,4,2,2,0,0,0,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,4,Neither acceptable nor unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Mostly unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,I don't know,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,Sometimes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,1 - No need,1 - No need,1 - No need,3,3,4,Yes
35,Yes,,Yes,Yes,2011,2005,17,0,Full Professor (or equivalent),1,1,1,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,2,5,2,5,3,5,4,5,3,5,2,5,2,5,3,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Mostly unacceptable,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No,Yes,Yes,I don't know,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,,3,4,1- Not motivating,3,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,1 - No need,1 - No need,2,1 - No need,1 - No need,5 - Willing,Yes
36,Yes,,Yes,Yes,2000,1994,23,0,Full Professor (or equivalent),0.2,0.2,0.2,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,4,5,3,5,4,5,4,5,4,1,1,4,4,5,3,Mostly acceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Completely acceptable,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,I don't know,No,I don't know,No,Yes,No,I don't know,No,I don't know,No,Yes,No,I don't know,No,Yes,No,Yes,No,I don't know,No,No,No,I don't know,Extremely a reason,Extremely a reason,Extremely a reason,Extremely a reason,Not a reason at all,Extremely a reason,Moderately a reason,Extremely a reason,Not a reason at all,Strongly a reason,Extremely a reason,,4,3,4,4,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 - High level of need,5 - High level of need,5 - High level of need,5 - High level of need,5 - High level of need,4,No
37,Yes,,Yes,Yes,2021,2016,4,1,Post-Doctoral Fellow,2,2,1,0,0,3,0,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,No,No,Yes,No,Yes,3,3,3,3,4,3,5,4,5,3,3,2,5,2,5,4,Mostly acceptable,Neither acceptable nor unacceptable,Mostly acceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Completely acceptable,Mostly acceptable,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,No,I don't know,Yes,I don't know,No,No,Yes,Yes,No,I don't know,Yes,Yes,No,I don't know,No,No,No,No,No,No,Not a reason at all,Moderately a reason,Slightly a reason,Strongly a reason,Moderately a reason,Not a reason at all,Moderately a reason,Slightly a reason,Not a reason at all,Strongly a reason,Strongly a reason,,1- Not motivating,5 - Highly motivating,1- Not motivating,1- Not motivating,2,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,5 - High level of need,3,2,3,4,5 - Willing,Yes
38,Yes,,Yes,Yes,2008,2002,22,12,Associate Professor (or equivalent),3,1,1,7,3,3,2,0,12,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,5 - Definitely yes,5,4,5,5,5,5,2,2,4,4,5,5,5,5,Completely acceptable,Neither acceptable nor unacceptable,Mostly acceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Mostly acceptable,Mostly unacceptable,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,I don't know,I don't know,Yes,Yes,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely a reason,Extremely a reason,Extremely a reason,Slightly a reason,Not a reason at all,Not a reason at all,Strongly a reason,Extremely a reason,Extremely a reason,Not a reason at all,Strongly a reason,,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,3,4,Never,N/A,N/A,N/A,N/A,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,5 - High level of need,5 - High level of need,5 - High level of need,5 - High level of need,5 - High level of need,5 - Willing,Yes
39,Yes,,Yes,Yes,2001,1995,16,0,Full Professor (or equivalent),1,1,1,0,0,0,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,3,5,2,5,2,5,2,5,2,5,2,5,2,1,3,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,,1- Not motivating,5 - Highly motivating,5 - Highly motivating,2,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,1 - No need,1 - No need,1 - No need,1 - No need,1 - No need,4,Yes
40,Yes,,Yes,Yes,2024,2020,5,6,Post-Doctoral Fellow,2,1,2,1,1,0,0,0,6,No,No,Yes,Yes,No,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,5 - Definitely yes,5,5,5,5,5,5,5,5,5,4,4,4,5,5,Neither acceptable nor unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,I don't know,I don't know,No,Yes,No,No,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,,3,5 - Highly motivating,1- Not motivating,2,2,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,1 - No need,1 - No need,1 - No need,1 - No need,1 - No need,5 - Willing,Yes
41,Yes,,Yes,Yes,2024,2020,5,0,Post-Doctoral Fellow,2,2,2,20,6,2,1,1,10,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,2,3,2,4,2,2,3,4,3,4,4,5,2,4,2,2,Mostly unacceptable,Neither acceptable nor unacceptable,Mostly unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Mostly unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,Yes,No,Yes,No,I don't know,Yes,Yes,Yes,Yes,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Moderately a reason,Slightly a reason,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,,1- Not motivating,1- Not motivating,1- Not motivating,1- Not motivating,3,Sometimes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,1 - No need,1 - No need,4,4,2,4,Yes
42,Yes,,Yes,Yes,2023,2019,6,10,Assistant Professor (or equivalent),1,1,1,2,0,1,0,0,0,No,No,No,Yes,No,N/A,N/A,N/A,N/A,N/A,No,No,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,2,3,4,4,5,5,4,2,4,5,2,2,3,3,2,3,Mostly acceptable,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Completely acceptable,Neither acceptable nor unacceptable,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,I don't know,No,No,Slightly a reason,Not a reason at all,Moderately a reason,Moderately a reason,Not a reason at all,Slightly a reason,Slightly a reason,Strongly a reason,Moderately a reason,Strongly a reason,Strongly a reason,,4,5 - Highly motivating,4,2,5 - Highly motivating,Rarely,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,2,4,3,4,4,3,Yes
43,Yes,,Yes,Yes,2016,2011,11,8,Assistant Professor (or equivalent),1.5,1.5,1.5,2,0,3,0,2,0,No,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,Yes,Yes,No,No,Yes,5 - Very familiar,5 - Definitely yes,5,5,5,5,5,3,5,3,4,3,5,5,4,4,Prefer not to answer,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,I don't know,Yes,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I don't know,Yes,I don't know,No,I don't know,Moderately a reason,Slightly a reason,Slightly a reason,Slightly a reason,Moderately a reason,Strongly a reason,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Extremely a reason,Extremely a reason,5 - Highly motivating,5 - Highly motivating,4,3,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,5 - High level of need,3,4,5 - High level of need,4,3,Yes
44,Yes,,Yes,Yes,2022,2017,10,3,Post-Doctoral Fellow,3,2,3,0,6,0,0,0,16,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,5 - Definitely yes,5,5,5,5,5,4,5,4,5,4,5,5,5,4,Mostly acceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Neither acceptable nor unacceptable,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Yes,Yes,No,Yes,No,I don't know,No,I don't know,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Moderately a reason,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Moderately a reason,,5 - Highly motivating,3,3,2,3,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,2,2,2,3,4,5 - Willing,Yes
45,Yes,,Yes,Yes,2017,2014,6,1,Assistant Professor (or equivalent),2,2,2,1,1,0,1,0,0,Yes,Yes,No,No,No,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,N/A,N/A,N/A,N/A,No,,2,3,4,5,5,3,3,3,3,3,2,3,4,3,4,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Yes,Yes,I don't know,I don't know,I don't know,I don't know,I don't know,Yes,I don't know,I don't know,Moderately a reason,Slightly a reason,Slightly a reason,Strongly a reason,Slightly a reason,Slightly a reason,Not a reason at all,Moderately a reason,Moderately a reason,Slightly a reason,Strongly a reason,,1- Not motivating,1- Not motivating,1- Not motivating,2,1- Not motivating,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,1 - No need,1 - No need,1 - No need,1 - No need,2,5 - Willing,Yes
46,Yes,,Yes,Yes,2019,2015,10,10,Post-Doctoral Fellow,0.5,0.5,0.5,3,0,0,0,3,20,Yes,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,Yes,No,Yes,3,5 - Definitely yes,5,5,5,5,5,5,5,5,3,2,3,3,2,2,Mostly acceptable,Mostly acceptable,Mostly unacceptable,Completely unacceptable,Mostly acceptable,Completely acceptable,Neither acceptable nor unacceptable,Completely acceptable,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,I don't know,No,I don't know,No,Yes,Not a reason at all,Not a reason at all,Not a reason at all,Extremely a reason,Not a reason at all,Extremely a reason,Extremely a reason,Extremely a reason,Not a reason at all,Slightly a reason,Extremely a reason,,1- Not motivating,3,4,4,5 - Highly motivating,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,4,2,5 - High level of need,1 - No need,3,4,Yes
47,Yes,,Yes,Yes,2024,2020,7,12,Post-Doctoral Fellow,1,1,1,2,0,0,1,0,5,No,No,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,Yes,No,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,4,5,5,5,5,5,3,5,4,5,4,5,5,5,4,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Mostly unacceptable,Completely unacceptable,Neither acceptable nor unacceptable,Mostly unacceptable,Yes,No,No,No,No,No,No,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,I don't know,Slightly a reason,Moderately a reason,Strongly a reason,Slightly a reason,Strongly a reason,Slightly a reason,Slightly a reason,Moderately a reason,Not a reason at all,Slightly a reason,Moderately a reason,,5 - Highly motivating,5 - Highly motivating,5 - Highly motivating,3,3,Never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1 - No need,3,3,4,2,No
48,Yes,,Yes,Yes,2006,2000,22,2,Full Professor (or equivalent),4,4,4,1,4,0,0,0,18,No,No,No,Yes,No,Yes,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Mostly acceptable,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Not a reason at all,Slightly a reason,Not a reason at all,Not a reason at all,Slightly a reason,,4,4,1- Not motivating,3,1- Not motivating,Rarely,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,2,2,2,3,3,4,Yes
49,Yes,,Yes,Yes,2017,2013,11,0,Assistant Professor (or equivalent),5,4,5,5,0,0,1,0,25,Yes,Yes,Yes,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,No,N/A,N/A,N/A,N/A,Yes,3,5 - Definitely yes,4,5,4,5,4,4,3,4,5,5,5,5,3,3,Completely unacceptable,Completely unacceptable,Prefer not to answer,Prefer not to answer,Completely unacceptable,Prefer not to answer,Neither acceptable nor unacceptable,Mostly acceptable,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I don't know,No,I don't know,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Not a reason at all,Not a reason at all,Not a reason at all,Moderately a reason,Moderately a reason,Not a reason at all,Moderately a reason,Not a reason at all,Not a reason at all,Moderately a reason,Extremely a reason,,5 - Highly motivating,5 - Highly motivating,1- Not motivating,2,4,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5 - High level of need,1 - No need,3,4,4,5 - Willing,Yes
50,Yes,,Yes,Yes,2024,2021,6,2,Post-Doctoral Fellow,1,1,1,3,0,0,0,0,5,No,No,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5 - Very familiar,4,5,5,5,4,5,4,3,4,3,3,5,3,3,4,Mostly unacceptable,Mostly unacceptable,Mostly unacceptable,Completely unacceptable,Completely unacceptable,Completely unacceptable,Mostly acceptable,Mostly acceptable,N/A,N/A,N/A,N/A,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,I don't know,I don't know,I don't know,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,I don't know,No,I don't know,No,I don't know,Not a reason at all,Not a reason at all,Not a reason at all,Strongly a reason,Not a reason at all,Not a reason at all,Moderately a reason,Slightly a reason,Not a reason at all,Not a reason at all,Strongly a reason,,5 - Highly motivating,5 - Highly motivating,3,2,3,Never,N/A,N/A,N/A,N/A,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,1 - No need,1 - No need,1 - No need,3,2,4,Yes
